air_quality,smoke,alcohol,flamable_gas,MQ136_raw,MQ7_raw,t,h,timestamp,dt_s,elapsed_s,is_warmup,air_quality_ppm,smoke_ppm,alcohol_ppm,flamable_gas_ppm,MQ136_ppm,MQ7_ppm
160.0,774.0,25.0,4062.0,4921.0,122.0,27.1,76.5,2023-03-20 16:55:46,,0.0,True,11953.431663185227,578.6848521089055,1.3784998872202793e-05,46376242.94242709,36368750.18771606,0.6665563934250397
122.0,585.0,25.0,2924.0,4217.0,119.0,27.1,77.1,2023-03-20 16:55:53,7.0,7.0,True,4845.2742686394395,100.43744574294404,1.3741116266903495e-05,2035671.6194406785,306505.76456775906,0.6373686757409905
106.0,475.0,25.0,2302.0,3673.0,120.0,27.1,77.1,2023-03-20 16:55:59,6.0,13.0,True,3081.0818069338925,41.040669922175866,1.3741116266903495e-05,505287.841788866,83696.93832723587,0.646602280996154
96.0,418.0,25.0,1957.0,3197.0,122.0,27.1,76.9,2023-03-20 16:56:05,6.0,19.0,True,2252.0891889293252,25.687275793647462,1.3755734474540614e-05,230536.25005620313,35150.67870276622,0.6656968204912894
85.0,372.0,25.0,1734.0,2738.0,122.0,27.1,76.7,2023-03-20 16:56:12,7.0,26.0,True,1538.8219311825721,17.354423562619996,1.3770362008979468e-05,135456.83499643815,16709.825435116174,0.6661265596455744
76.0,341.0,25.0,1596.0,2298.0,120.0,27.2,76.7,2023-03-20 16:56:18,6.0,32.0,True,1085.3010912899995,13.148890499892223,1.3752079048321132e-05,95734.45697880202,8387.515503722243,0.6469154650968798
65.0,315.0,25.0,1488.0,1913.0,116.0,27.2,76.5,2023-03-20 16:56:25,7.0,39.0,True,672.0379273312209,10.335641239825614,1.3766704250873652e-05,72322.88602028551,4527.881373925507,0.6107508358974922
53.0,312.0,25.0,1381.0,1592.0,121.0,27.2,76.5,2023-03-20 16:56:31,6.0,45.0,True,361.61020592987245,10.044616479695108,1.3766704250873652e-05,54068.37222253059,2609.5285754250594,0.6566430807071507
53.0,317.0,25.0,1369.0,1466.0,122.0,27.2,76.5,2023-03-20 16:56:38,7.0,52.0,True,361.61020592987245,10.533443371805156,1.3766704250873652e-05,52288.92861700324,2070.0877490950256,0.6660191159851351
37.0,315.0,25.0,1248.0,1215.0,121.0,27.2,79.3,2023-03-20 16:56:44,6.0,58.0,True,121.28369112509776,10.20872376140817,1.3562799386651322e-05,36299.49083922413,1241.0453219074059,0.6507202544429131
29.0,303.0,25.0,1183.0,1072.0,122.0,27.3,80.5,2023-03-20 16:56:51,7.0,65.0,True,58.490934630237184,9.039699127459519,1.345792256892231e-05,29568.93879622495,898.8934101583291,0.6569080530022948
22.0,284.0,25.0,1120.0,965.0,120.0,27.3,79.7,2023-03-20 16:56:57,6.0,71.0,True,26.129286775689547,7.517304793607477,1.3515725232843735e-05,24382.007283107796,697.1848575291269,0.6401414085562503
18.0,286.0,25.0,1055.0,907.0,118.0,27.3,78.5,2023-03-20 16:57:03,6.0,77.0,True,14.653327422793518,7.711058529167146,1.360270808926038e-05,19857.50892287548,603.8658814022958,0.6243510009112667
15.0,272.0,25.0,1016.0,835.0,121.0,27.3,77.6,2023-03-20 16:57:10,7.0,84.0,True,8.669648190067715,6.711246913717627,1.3668165061318536e-05,17493.983766137677,498.6010896945504,0.653785146204512
12.0,267.0,25.0,975.0,794.0,122.0,27.4,77.1,2023-03-20 16:57:16,6.0,90.0,True,4.545832384603488,6.377307739761616,1.3686381021234125e-05,15185.839781997269,443.88444336017744,0.6636568523297521
10.0,269.0,25.0,927.0,758.0,120.0,27.4,76.6,2023-03-20 16:57:23,7.0,97.0,True,2.690689229834449,6.52656696785112,1.3722856620150771e-05,12807.374308309409,399.6306373556773,0.646080422508951
10.0,262.0,25.0,886.0,719.0,119.0,27.4,76.2,2023-03-20 16:57:29,6.0,103.0,True,2.6972496528900165,6.073494370142096,1.3752079048321132e-05,11009.78487679408,354.72790382884153,0.6376773875123676
10.0,257.0,25.0,859.0,697.0,122.0,27.5,76.1,2023-03-20 16:57:36,7.0,110.0,True,2.6947882761642052,5.753636722553793,1.3741116266903495e-05,9911.311448973798,330.34432719751413,0.665267175981577
10.0,260.0,25.0,835.0,678.0,121.0,27.5,76.0,2023-03-20 16:57:42,6.0,116.0,True,2.696429031536007,5.944216996966775,1.3748424204995772e-05,9019.825299093642,310.4629546716053,0.6561135126902516
10.0,253.0,25.0,799.0,646.0,122.0,27.5,75.9,2023-03-20 16:57:48,6.0,122.0,True,2.6980704367092816,5.514935640401775,1.3755734474540614e-05,7795.711321126863,278.61097703370154,0.6656968204912894
