gas,level,pct,ppm,tlv_pct,tlv_ppm,over_tlv,severity,ppm_noisy
CO2,L1,0.02,200.0,0.03,300.0,0,0,189.17378072064483
CO2,L1,0.01,100.0,0.03,300.0,0,0,94.91695591309272
CO2,L1,0.02,200.0,0.03,300.0,0,0,204.6063821118946
CO2,L1,0.03,300.0,0.03,300.0,1,0,286.01548126767653
CO2,L1,0.0,0.0,0.03,300.0,0,0,4.058425779613934
CO2,L1,0.03,300.0,0.03,300.0,1,0,296.0030714052064
CO2,L1,0.04,400.0,0.03,300.0,1,0,406.8405846452043
CO2,L1,0.03,300.0,0.03,300.0,1,0,297.6394392858854
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0894234965076183
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.03,300.0,0.03,300.0,1,0,308.12205473375457
CO2,L1,0.04,400.0,0.03,300.0,1,0,420.1081664399192
CO2,L1,0.02,200.0,0.03,300.0,0,0,200.5277885247625
CO2,L1,0.03,300.0,0.03,300.0,1,0,303.0662132636943
CO2,L1,0.04,400.0,0.03,300.0,1,0,401.29814678739655
CO2,L1,0.01,100.0,0.03,300.0,0,0,108.7461935293144
CO2,L1,0.03,300.0,0.03,300.0,1,0,301.0716255326575
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.02,200.0,0.03,300.0,0,0,192.391268040358
CO2,L1,0.0,0.0,0.03,300.0,0,0,3.0458607569773037
CO2,L1,0.03,300.0,0.03,300.0,1,0,290.4597792324236
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.04,400.0,0.03,300.0,1,0,399.4058208704327
CO2,L1,0.03,300.0,0.03,300.0,1,0,296.3801162566
CO2,L1,0.03,300.0,0.03,300.0,1,0,300.04690852697644
CO2,L1,0.01,100.0,0.03,300.0,0,0,95.92224438257666
CO2,L1,0.01,100.0,0.03,300.0,0,0,100.72030450697876
CO2,L1,0.01,100.0,0.03,300.0,0,0,85.91419901143213
CO2,L1,0.01,100.0,0.03,300.0,0,0,92.48705028462368
CO2,L1,0.04,400.0,0.03,300.0,1,0,411.167659113607
CO2,L1,0.02,200.0,0.03,300.0,0,0,200.8329997483884
CO2,L1,0.01,100.0,0.03,300.0,0,0,94.687239348345
CO2,L1,0.02,200.0,0.03,300.0,0,0,191.54199436422155
CO2,L1,0.01,100.0,0.03,300.0,0,0,106.59344498538958
CO2,L1,0.03,300.0,0.03,300.0,1,0,327.4126129859834
CO2,L1,0.0,0.0,0.03,300.0,0,0,3.5666920796196355
CO2,L1,0.02,200.0,0.03,300.0,0,0,194.64322758628427
CO2,L1,0.04,400.0,0.03,300.0,1,0,407.1555276186901
CO2,L1,0.01,100.0,0.03,300.0,0,0,111.24660769076527
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.04,400.0,0.03,300.0,1,0,409.4698869815905
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,105.50729649866392
CO2,L1,0.0,0.0,0.03,300.0,0,0,6.097406323703366
CO2,L1,0.02,200.0,0.03,300.0,0,0,189.1169996954877
CO2,L1,0.02,200.0,0.03,300.0,0,0,190.90164517028472
CO2,L1,0.01,100.0,0.03,300.0,0,0,88.35063330884738
CO2,L1,0.04,400.0,0.03,300.0,1,0,393.6464061470061
CO2,L1,0.02,200.0,0.03,300.0,0,0,221.44886317187564
CO2,L1,0.02,200.0,0.03,300.0,0,0,194.92832814323648
CO2,L1,0.04,400.0,0.03,300.0,1,0,399.2150299780562
CO2,L1,0.03,300.0,0.03,300.0,1,0,286.8571623981624
CO2,L1,0.04,400.0,0.03,300.0,1,0,421.662477645252
CO2,L1,0.04,400.0,0.03,300.0,1,0,390.8752889008365
CO2,L1,0.02,200.0,0.03,300.0,0,0,203.3098254240525
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.2283862654333042
CO2,L1,0.02,200.0,0.03,300.0,0,0,190.70200834321227
CO2,L1,0.02,200.0,0.03,300.0,0,0,195.02634408794108
CO2,L1,0.04,400.0,0.03,300.0,1,0,399.3801908398116
CO2,L1,0.01,100.0,0.03,300.0,0,0,86.5078615328847
CO2,L1,0.02,200.0,0.03,300.0,0,0,195.2094307044997
CO2,L1,0.01,100.0,0.03,300.0,0,0,92.1785641922412
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.69471211405715
CO2,L1,0.03,300.0,0.03,300.0,1,0,297.11826362742386
CO2,L1,0.04,400.0,0.03,300.0,1,0,395.0017410707493
CO2,L1,0.03,300.0,0.03,300.0,1,0,294.9542632005398
CO2,L1,0.03,300.0,0.03,300.0,1,0,290.7965928418662
CO2,L1,0.0,0.0,0.03,300.0,0,0,10.070607977243895
CO2,L1,0.0,0.0,0.03,300.0,0,0,5.887142461124091
CO2,L1,0.01,100.0,0.03,300.0,0,0,97.95224796033789
CO2,L1,0.03,300.0,0.03,300.0,1,0,295.1396355795846
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.04,400.0,0.03,300.0,1,0,390.1579901188042
CO2,L1,0.03,300.0,0.03,300.0,1,0,301.8777431469059
CO2,L1,0.04,400.0,0.03,300.0,1,0,384.9371041783912
CO2,L1,0.01,100.0,0.03,300.0,0,0,93.1563071948062
CO2,L1,0.0,0.0,0.03,300.0,0,0,2.928592899798497
CO2,L1,0.04,400.0,0.03,300.0,1,0,403.59366923991536
CO2,L1,0.03,300.0,0.03,300.0,1,0,313.97377795273934
CO2,L1,0.04,400.0,0.03,300.0,1,0,401.8049137991604
CO2,L1,0.02,200.0,0.03,300.0,0,0,179.43946196184717
CO2,L1,0.03,300.0,0.03,300.0,1,0,311.34352343393573
CO2,L1,0.01,100.0,0.03,300.0,0,0,97.26064618104655
CO2,L1,0.02,200.0,0.03,300.0,0,0,190.00624890953245
CO2,L1,0.01,100.0,0.03,300.0,0,0,97.80939171084918
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.02,200.0,0.03,300.0,0,0,205.6538293031812
CO2,L1,0.02,200.0,0.03,300.0,0,0,192.63011738636484
CO2,L1,0.04,400.0,0.03,300.0,1,0,395.1153931157931
CO2,L1,0.02,200.0,0.03,300.0,0,0,193.480713762536
CO2,L1,0.0,0.0,0.03,300.0,0,0,4.790873334357514
CO2,L1,0.01,100.0,0.03,300.0,0,0,114.125070666538
CO2,L1,0.01,100.0,0.03,300.0,0,0,88.21709760517872
CO2,L1,0.01,100.0,0.03,300.0,0,0,109.72221469336922
CO2,L1,0.02,200.0,0.03,300.0,0,0,214.47803003464165
CO2,L1,0.04,400.0,0.03,300.0,1,0,405.7094635913929
CO2,L1,0.04,400.0,0.03,300.0,1,0,383.4652226009667
CO2,L1,0.03,300.0,0.03,300.0,1,0,309.7568791126185
CO2,L1,0.01,100.0,0.03,300.0,0,0,124.10512178039812
CO2,L1,0.0,0.0,0.03,300.0,0,0,12.981498101933711
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,81.05813601861558
CO2,L1,0.03,300.0,0.03,300.0,1,0,290.61038193348435
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,96.28496045031378
CO2,L1,0.01,100.0,0.03,300.0,0,0,95.45518842582672
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0152917786233609
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.03,300.0,0.03,300.0,1,0,303.50302517869034
CO2,L1,0.01,100.0,0.03,300.0,0,0,104.8187756584064
CO2,L1,0.01,100.0,0.03,300.0,0,0,108.24654213721236
CO2,L1,0.04,400.0,0.03,300.0,1,0,392.15582636482384
CO2,L1,0.02,200.0,0.03,300.0,0,0,193.28351227852195
CO2,L1,0.03,300.0,0.03,300.0,1,0,287.8746404222299
CO2,L1,0.0,0.0,0.03,300.0,0,0,13.82284655755354
CO2,L1,0.01,100.0,0.03,300.0,0,0,115.09129007076334
CO2,L1,0.02,200.0,0.03,300.0,0,0,199.36150857214432
CO2,L1,0.01,100.0,0.03,300.0,0,0,91.5945240179997
CO2,L1,0.04,400.0,0.03,300.0,1,0,387.0227407678788
CO2,L1,0.01,100.0,0.03,300.0,0,0,107.98516143303968
CO2,L1,0.03,300.0,0.03,300.0,1,0,284.68255470740945
CO2,L1,0.04,400.0,0.03,300.0,1,0,390.8670727805624
CO2,L1,0.02,200.0,0.03,300.0,0,0,194.22423874511395
CO2,L1,0.01,100.0,0.03,300.0,0,0,102.3698179149138
CO2,L1,0.01,100.0,0.03,300.0,0,0,88.62979931431317
CO2,L1,0.03,300.0,0.03,300.0,1,0,305.2220020064679
CO2,L1,0.01,100.0,0.03,300.0,0,0,94.21202177369236
CO2,L1,0.01,100.0,0.03,300.0,0,0,85.13087025714351
CO2,L1,0.02,200.0,0.03,300.0,0,0,177.97312877776022
CO2,L1,0.0,0.0,0.03,300.0,0,0,2.380539339445384
CO2,L1,0.02,200.0,0.03,300.0,0,0,201.10734229436648
CO2,L1,0.04,400.0,0.03,300.0,1,0,409.9158300462245
CO2,L1,0.04,400.0,0.03,300.0,1,0,422.709724669438
CO2,L1,0.01,100.0,0.03,300.0,0,0,87.65086076950175
CO2,L1,0.01,100.0,0.03,300.0,0,0,88.23396607001308
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,76.1888914338347
CO2,L1,0.01,100.0,0.03,300.0,0,0,117.12675433659663
CO2,L1,0.01,100.0,0.03,300.0,0,0,94.03470201375131
CO2,L1,0.04,400.0,0.03,300.0,1,0,392.2072996185725
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.47700584274
CO2,L1,0.01,100.0,0.03,300.0,0,0,98.70399157427724
CO2,L1,0.03,300.0,0.03,300.0,1,0,304.0251308988213
CO2,L1,0.03,300.0,0.03,300.0,1,0,301.4692078859791
CO2,L1,0.02,200.0,0.03,300.0,0,0,198.6743402669957
CO2,L1,0.01,100.0,0.03,300.0,0,0,102.49349694314488
CO2,L1,0.01,100.0,0.03,300.0,0,0,85.32036205651075
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.03,300.0,0.03,300.0,1,0,295.13392820453504
CO2,L1,0.01,100.0,0.03,300.0,0,0,112.55595173602543
CO2,L1,0.02,200.0,0.03,300.0,0,0,189.2631628693266
CO2,L1,0.04,400.0,0.03,300.0,1,0,402.61162939100063
CO2,L1,0.01,100.0,0.03,300.0,0,0,106.55232692017536
CO2,L1,0.0,0.0,0.03,300.0,0,0,9.24965947343538
CO2,L1,0.04,400.0,0.03,300.0,1,0,387.3023711670745
CO2,L1,0.01,100.0,0.03,300.0,0,0,105.28124104099422
CO2,L1,0.03,300.0,0.03,300.0,1,0,299.50840387363377
CO2,L1,0.01,100.0,0.03,300.0,0,0,105.6903735597549
CO2,L1,0.03,300.0,0.03,300.0,1,0,305.3337051746234
CO2,L1,0.03,300.0,0.03,300.0,1,0,287.7478214134364
CO2,L1,0.02,200.0,0.03,300.0,0,0,193.63660051009492
CO2,L1,0.0,0.0,0.03,300.0,0,0,8.27614392817335
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,107.3407789926968
CO2,L1,0.01,100.0,0.03,300.0,0,0,96.6644998022153
CO2,L1,0.01,100.0,0.03,300.0,0,0,118.28952535075236
CO2,L1,0.01,100.0,0.03,300.0,0,0,104.8001862492842
CO2,L1,0.01,100.0,0.03,300.0,0,0,90.22394598583573
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.02,200.0,0.03,300.0,0,0,197.0708728162969
CO2,L1,0.04,400.0,0.03,300.0,1,0,404.4753411853009
CO2,L1,0.01,100.0,0.03,300.0,0,0,104.57921591142102
CO2,L1,0.04,400.0,0.03,300.0,1,0,392.990281368859
CO2,L1,0.03,300.0,0.03,300.0,1,0,315.53001290726155
CO2,L1,0.02,200.0,0.03,300.0,0,0,207.18097136631704
CO2,L1,0.02,200.0,0.03,300.0,0,0,196.30965176407904
CO2,L1,0.02,200.0,0.03,300.0,0,0,200.8952769134982
CO2,L1,0.04,400.0,0.03,300.0,1,0,399.0233921931229
CO2,L1,0.01,100.0,0.03,300.0,0,0,101.79751849408017
CO2,L1,0.03,300.0,0.03,300.0,1,0,305.9999300417164
CO2,L1,0.03,300.0,0.03,300.0,1,0,309.8173413445496
CO2,L1,0.02,200.0,0.03,300.0,0,0,183.00095942301743
CO2,L1,0.02,200.0,0.03,300.0,0,0,195.3456564554342
CO2,L1,0.04,400.0,0.03,300.0,1,0,412.5199822893328
CO2,L1,0.01,100.0,0.03,300.0,0,0,94.46305378771515
CO2,L1,0.02,200.0,0.03,300.0,0,0,192.5663599837017
CO2,L1,0.04,400.0,0.03,300.0,1,0,430.13752934675824
CO2,L1,0.03,300.0,0.03,300.0,1,0,310.0452355061785
CO2,L1,0.01,100.0,0.03,300.0,0,0,100.4848904620136
CO2,L1,0.01,100.0,0.03,300.0,0,0,84.5912924428835
CO2,L1,0.01,100.0,0.03,300.0,0,0,99.74963907454102
CO2,L1,0.01,100.0,0.03,300.0,0,0,91.46082137493636
CO2,L1,0.04,400.0,0.03,300.0,1,0,397.7395620830559
CO2,L1,0.03,300.0,0.03,300.0,1,0,303.42406826293006
CO2,L1,0.04,400.0,0.03,300.0,1,0,399.7796242018188
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.6560909508046374
CO2,L1,0.02,200.0,0.03,300.0,0,0,202.89692067735183
CO2,L1,0.01,100.0,0.03,300.0,0,0,98.04861501864048
CO2,L1,0.01,100.0,0.03,300.0,0,0,101.7232830556013
CO2,L1,0.0,0.0,0.03,300.0,0,0,5.058131514540721
CO2,L1,0.03,300.0,0.03,300.0,1,0,302.6297799962831
CO2,L1,0.01,100.0,0.03,300.0,0,0,107.65280024118032
CO2,L1,0.0,0.0,0.03,300.0,0,0,9.890926522544266
CO2,L1,0.03,300.0,0.03,300.0,1,0,317.8740602757633
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,100.5021058966362
CO2,L1,0.01,100.0,0.03,300.0,0,0,86.87617001922344
CO2,L1,0.02,200.0,0.03,300.0,0,0,203.52279837134884
CO2,L1,0.01,100.0,0.03,300.0,0,0,104.56040894256157
CO2,L1,0.04,400.0,0.03,300.0,1,0,393.9937082318884
CO2,L1,0.01,100.0,0.03,300.0,0,0,90.17375866457526
CO2,L1,0.02,200.0,0.03,300.0,0,0,193.8705908071633
CO2,L1,0.01,100.0,0.03,300.0,0,0,92.55434122555876
CO2,L1,0.01,100.0,0.03,300.0,0,0,92.70016412206742
CO2,L1,0.03,300.0,0.03,300.0,1,0,298.37933479109944
CO2,L1,0.02,200.0,0.03,300.0,0,0,196.60784516893816
CO2,L1,0.01,100.0,0.03,300.0,0,0,114.88700333488175
CO2,L1,0.01,100.0,0.03,300.0,0,0,100.66418066017616
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.01,100.0,0.03,300.0,0,0,117.95119256982709
CO2,L1,0.03,300.0,0.03,300.0,1,0,305.81412080232815
CO2,L1,0.0,0.0,0.03,300.0,0,0,5.581974746453295
CO2,L1,0.0,0.0,0.03,300.0,0,0,5.127260432247001
CO2,L1,0.02,200.0,0.03,300.0,0,0,218.3733125069404
CO2,L1,0.04,400.0,0.03,300.0,1,0,417.0130038461417
CO2,L1,0.0,0.0,0.03,300.0,0,0,15.21924425219988
CO2,L1,0.03,300.0,0.03,300.0,1,0,289.2620088659892
CO2,L1,0.04,400.0,0.03,300.0,1,0,405.2240193600946
CO2,L1,0.04,400.0,0.03,300.0,1,0,414.0057581778223
CO2,L1,0.02,200.0,0.03,300.0,0,0,197.72508712606964
CO2,L1,0.02,200.0,0.03,300.0,0,0,186.3722569132241
CO2,L1,0.03,300.0,0.03,300.0,1,0,314.68847327211506
CO2,L1,0.01,100.0,0.03,300.0,0,0,101.05967278979018
CO2,L1,0.02,200.0,0.03,300.0,0,0,200.9222356983288
CO2,L1,0.01,100.0,0.03,300.0,0,0,92.96178053241552
CO2,L1,0.03,300.0,0.03,300.0,1,0,295.682344407483
CO2,L1,0.01,100.0,0.03,300.0,0,0,82.9276448448987
CO2,L1,0.04,400.0,0.03,300.0,1,0,403.3347814806658
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.04,400.0,0.03,300.0,1,0,416.241763175267
CO2,L1,0.0,0.0,0.03,300.0,0,0,0.0
CO2,L1,0.02,200.0,0.03,300.0,0,0,217.4739615652505
CO2,L1,0.0,0.0,0.03,300.0,0,0,17.032927862833972
CO2,L1,0.02,200.0,0.03,300.0,0,0,208.28890126203817
CO2,L1,0.04,400.0,0.03,300.0,1,0,408.2096938269541
CO2,L1,0.03,300.0,0.03,300.0,1,0,313.33672917923064
CO2,L1,0.02,200.0,0.03,300.0,0,0,200.1712989762276
CO2,L1,0.03,300.0,0.03,300.0,1,0,285.3756365689856
CO2,L1,0.04,400.0,0.03,300.0,1,0,411.8159220157629
CO2,L1,0.03,300.0,0.03,300.0,1,0,279.9899526299683
