blast	sx	sy	selev	delay	charge	detonator
10003	492518.00	5263954.80	954.10	0.000	333.4	N
10003	492513.60	5263950.80	954.20	0.033	333.4	N
10003	492509.30	5263946.70	954.20	0.066	423.4	N
10003	492504.90	5263942.50	954.40	0.099	383.4	N
10003	492500.60	5263938.60	954.60	0.132	383.4	N
10003	492496.20	5263934.40	954.50	0.165	383.4	N
10003	492491.70	5263930.40	954.40	0.198	740.0	N
10003	492487.30	5263926.10	954.40	0.231	423.4	N
10003	492483.00	5263922.10	954.50	0.264	423.4	N
10004	492235.60	5264463.90	818.50	0.330	513.4	N
10004	492241.10	5264461.40	818.40	0.297	513.4	N
10004	492246.70	5264459.00	818.20	0.264	513.4	N
10004	492252.20	5264456.70	818.00	0.231	453.4	N
10004	492257.50	5264454.40	817.50	0.198	493.4	N
10004	492263.00	5264452.00	817.10	0.165	483.4	N
10004	492268.50	5264449.70	816.80	0.132	463.4	N
10004	492274.00	5264447.20	816.50	0.099	443.4	N
10004	492279.60	5264444.80	816.10	0.066	443.4	N
10004	492285.10	5264442.60	815.80	0.033	413.4	N
10004	492290.60	5264440.10	815.60	0.000	433.4	N
10005	492670.00	5264362.60	932.60	0.627	323.4	E
10005	492674.60	5264359.00	933.80	0.594	383.4	E
10005	492679.10	5264354.80	934.10	0.561	383.4	E
10005	492683.40	5264350.60	934.50	0.528	393.4	E
10005	492687.70	5264346.50	934.70	0.495	433.4	E
10005	492691.90	5264342.20	934.80	0.462	453.4	E
10005	492696.10	5264338.10	934.90	0.429	403.4	E
10005	492700.40	5264333.80	934.90	0.396	393.4	E
10005	492704.60	5264329.60	935.10	0.363	393.4	E
10005	492709.00	5264325.40	935.20	0.330	413.4	E
10005	492712.90	5264320.80	935.30	0.297	453.4	E
10005	492717.10	5264316.50	935.40	0.264	393.4	E
10005	492721.50	5264312.30	935.50	0.231	403.4	E
10005	492725.60	5264308.00	935.40	0.198	403.4	E
10005	492729.90	5264303.90	935.70	0.165	403.4	E
10005	492734.30	5264299.60	935.90	0.132	423.4	E
10005	492738.90	5264295.90	936.20	0.099	473.4	E
10005	492743.20	5264291.70	936.30	0.066	413.4	E
10005	492747.30	5264287.50	936.40	0.033	423.4	E
10005	492751.50	5264283.00	936.60	0.000	253.4	E
10009	492233.90	5264503.50	841.90	0.000	513.4	E
10009	492239.50	5264501.80	841.90	0.033	433.4	E
10009	492245.30	5264499.90	841.90	0.066	413.4	E
10009	492250.90	5264498.10	842.00	0.099	423.4	E
10009	492256.70	5264496.30	841.90	0.132	473.4	E
10009	492262.40	5264494.30	841.80	0.165	473.4	E
10009	492268.10	5264492.40	841.80	0.198	393.4	E
10009	492273.80	5264490.60	841.60	0.231	393.4	E
10009	492279.50	5264488.70	841.10	0.264	423.4	E
10009	492285.10	5264486.70	841.00	0.297	243.4	E
10009	492290.90	5264484.80	840.70	0.330	413.4	E
10009	492296.60	5264483.00	840.60	0.363	473.4	E
10009	492302.30	5264481.30	840.60	0.396	413.4	E
10009	492307.90	5264479.40	840.70	0.429	443.4	E
10009	492313.60	5264477.50	840.70	0.462	433.4	E
10010	492677.40	5264544.80	980.50	0.000	283.4	N
10010	492678.90	5264550.70	980.50	0.000	443.4	N
10010	492681.10	5264545.60	980.60	0.025	383.4	N
10010	492683.70	5264540.20	980.50	0.050	383.4	N
10010	492687.20	5264535.40	980.00	0.075	473.4	N
10010	492680.50	5264555.40	980.60	0.100	453.4	N
10010	492683.00	5264549.90	980.70	0.125	433.4	N
10010	492685.50	5264544.50	980.60	0.150	423.4	N
10010	492688.00	5264538.90	980.30	0.175	453.4	N
10010	492690.30	5264533.50	979.80	0.200	473.4	N
10010	492693.20	5264528.00	980.10	0.225	443.4	N
10013	492893.50	5264319.20	997.80	0.000	373.4	N
10013	492889.60	5264323.70	998.00	0.033	373.4	N
10013	492885.80	5264328.20	998.00	0.066	373.4	N
10013	492881.90	5264332.90	998.00	0.099	383.4	N
10013	492877.90	5264337.50	998.20	0.132	373.4	N
10013	492874.10	5264342.10	998.30	0.165	373.4	N
10013	492870.20	5264346.70	998.40	0.198	373.4	N
